Tahun,Menara,Provinsi,Source
Tahun 2014,472,SULAWESI TENGAH,BPS
Tahun 2018,543,SULAWESI TENGAH,BPS
Tahun 2014,1138,SULAWESI SELATAN,BPS
Tahun 2018,1370,SULAWESI SELATAN,BPS
Tahun 2014,422,SULAWESI TENGGARA,BPS
Tahun 2018,478,SULAWESI TENGGARA,BPS
Tahun 2014,200,GORONTALO,BPS
Tahun 2018,241,GORONTALO,BPS
Tahun 2014,154,SULAWESI BARAT,BPS
Tahun 2018,179,SULAWESI BARAT,BPS
Tahun 2014,232,MALUKU,BPS
Tahun 2018,388,MALUKU,BPS
Tahun 2014,202,MALUKU UTARA,BPS
Tahun 2018,286,MALUKU UTARA,BPS
Tahun 2014,105,PAPUA BARAT,BPS
Tahun 2018,232,PAPUA BARAT,BPS
Tahun 2014,176,PAPUA,BPS
Tahun 2018,356,PAPUA,BPS
Tahun 2015,28319,INDONESIA,Interpolated
Tahun 2015,1192,ACEH,Interpolated
Tahun 2015,2002,SUMATERA UTARA,Interpolated
Tahun 2015,654,SUMATERA BARAT,Interpolated
Tahun 2015,994,RIAU,Interpolated
Tahun 2015,539,JAMBI,Interpolated
Tahun 2015,1057,SUMATERA SELATAN,Interpolated
Tahun 2015,331,BENGKULU,Interpolated
Tahun 2015,987,LAMPUNG,Interpolated
Tahun 2015,289,KEP. BANGKA BELITUNG,Interpolated
Tahun 2015,238,KEP. RIAU,Interpolated
Tahun 2015,223,DKI JAKARTA,Interpolated
Tahun 2015,3778,JAWA BARAT,Interpolated
Tahun 2015,3299,JAWA TENGAH,Interpolated
Tahun 2015,298,DI YOGYAKARTA,Interpolated
Tahun 2015,3665,JAWA TIMUR,Interpolated
Tahun 2015,957,BANTEN,Interpolated
Tahun 2015,442,BALI,Interpolated
Tahun 2015,692,NUSA TENGGARA BARAT,Interpolated
Tahun 2015,598,NUSA TENGGARA TIMUR,Interpolated
Tahun 2015,643,KALIMANTAN BARAT,Interpolated
Tahun 2015,396,KALIMANTAN TENGAH,Interpolated
Tahun 2015,601,KALIMANTAN SELATAN,Interpolated
Tahun 2015,450,KALIMANTAN TIMUR,Interpolated
Tahun 2015,149,KALIMANTAN UTARA,Interpolated
Tahun 2015,503,SULAWESI UTARA,Interpolated
Tahun 2015,490,SULAWESI TENGAH,Interpolated
Tahun 2015,1196,SULAWESI SELATAN,Interpolated
Tahun 2015,436,SULAWESI TENGGARA,Interpolated
Tahun 2015,210,GORONTALO,Interpolated
Tahun 2015,160,SULAWESI BARAT,Interpolated
Tahun 2015,271,MALUKU,Interpolated
Tahun 2015,223,MALUKU UTARA,Interpolated
Tahun 2015,137,PAPUA BARAT,Interpolated
Tahun 2015,221,PAPUA,Interpolated
Tahun 2016,29554,INDONESIA,Interpolated
Tahun 2016,1227,ACEH,Interpolated
Tahun 2016,2065,SUMATERA UTARA,Interpolated
Tahun 2016,680,SUMATERA BARAT,Interpolated
Tahun 2016,1031,RIAU,Interpolated
Tahun 2016,567,JAMBI,Interpolated
Tahun 2016,1123,SUMATERA SELATAN,Interpolated
Tahun 2016,351,BENGKULU,Interpolated
Tahun 2016,1054,LAMPUNG,Interpolated
Tahun 2016,298,KEP. BANGKA BELITUNG,Interpolated
Tahun 2016,245,KEP. RIAU,Interpolated
Tahun 2016,224,DKI JAKARTA,Interpolated
Tahun 2016,3840,JAWA BARAT,Interpolated
Tahun 2016,3448,JAWA TENGAH,Interpolated
Tahun 2016,306,DI YOGYAKARTA,Interpolated
Tahun 2016,3798,JAWA TIMUR,Interpolated
Tahun 2016,961,BANTEN,Interpolated
Tahun 2016,454,BALI,Interpolated
